timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478503249.45,-0.246106,1.409628,-2.246468,-0.035681,-0.077764,0.002253,-0.039095,-0.987041,-0.155636,-0.008008,-0.012837,-0.006611,-6.147217,-32.201172,-26.339722,,,,,,
,,,,,,,,,,,,,,,,37.392085,-122.011385,10.474915,-1.000000,-1.000000,1478503185.58
1478503249.47,-0.246043,1.408613,-2.247828,-0.052608,-0.055372,-0.004260,-0.039330,-0.986877,-0.156611,-0.000908,-0.005417,-0.005056,-6.147217,-32.201172,-26.339722,,,,,,
,,,,,,,,,,,,,,,,37.391947,-122.011798,10.474915,0.620000,301.640625,1478503124.00
1478503249.49,-0.245010,1.407177,-2.249662,-0.066373,-0.023440,-0.000126,-0.039512,-0.986644,-0.158026,-0.001870,-0.005910,-0.007761,-6.372131,-32.125977,-26.416382,,,,,,
,,,,,,,,,,,,,,,,37.392085,-122.011385,10.474915,-1.000000,-1.000000,1478503185.58
1478503249.51,-0.244405,1.405653,-2.250497,-0.059876,-0.006438,-0.007566,-0.039780,-0.986395,-0.159508,-0.012787,-0.015864,-0.008353,-6.745483,-31.600952,-26.269409,,,,,,
1478503249.53,-0.243475,1.404699,-2.251481,-0.046928,0.006311,-0.026672,-0.039858,-0.986237,-0.160459,-0.014997,0.000047,0.002713,-6.670532,-31.901550,-25.893677,,,,,,
1478503249.55,-0.243792,1.403988,-2.250988,-0.039576,0.015815,-0.004288,-0.040078,-0.986120,-0.161126,-0.015845,0.012640,0.007088,-6.894287,-31.451538,-25.820679,,,,,,
,,,,,,,,,,,,,,,,37.392491,-122.005556,10.474915,-1.000000,-1.000000,1478503249.54
,,,,,,,,,,,,,,,,37.392545,-122.004699,10.474915,-1.000000,-1.000000,1478503249.54
1478503249.57,-0.247073,1.403416,-2.247284,-0.031242,0.026355,0.031936,-0.040745,-0.986025,-0.161540,-0.006313,-0.001158,0.010478,-6.894287,-31.451538,-25.820679,,,,,,
1478503249.59,-0.251218,1.403097,-2.242656,-0.004760,0.015605,0.050195,-0.041492,-0.985971,-0.161675,0.005375,0.005716,0.004952,-6.369019,-31.301697,-25.891724,,,,,,
1478503249.61,-0.255229,1.403223,-2.238593,0.015434,-0.011025,0.042893,-0.042109,-0.985992,-0.161387,0.012354,0.012939,0.004985,-6.445740,-31.826355,-26.117065,,,,,,
1478503249.63,-0.258246,1.403411,-2.236161,0.020753,-0.039721,0.028061,-0.042548,-0.986024,-0.161080,0.009376,-0.000182,-0.005973,-6.147461,-32.125854,-26.564697,,,,,,
1478503249.65,-0.258229,1.403913,-2.237072,0.043141,-0.058905,0.014371,-0.042419,-0.986107,-0.160603,0.019028,-0.007286,-0.007427,-6.594788,-31.376160,-26.193481,,,,,,
1478503249.67,-0.261332,1.404186,-2.235307,0.039776,-0.078059,0.030348,-0.042848,-0.986153,-0.160210,0.010545,0.012703,-0.015923,-6.594788,-31.376160,-26.193481,,,,,,
1478503249.69,-0.267917,1.403775,-2.229770,0.013148,-0.041859,0.049309,-0.044009,-0.986084,-0.160315,-0.008893,-0.011215,-0.017846,-6.596008,-31.826050,-26.268188,,,,,,
1478503249.71,-0.277368,1.403202,-2.221038,0.021808,-0.039724,0.028067,-0.045677,-0.985989,-0.160435,-0.008827,-0.009144,-0.007579,-6.596863,-32.201172,-26.193115,,,,,,
1478503249.73,-0.279393,1.403440,-2.219775,0.030447,-0.041842,0.007892,-0.045937,-0.986029,-0.160117,0.004571,0.007192,-0.013757,-6.821472,-31.975891,-26.269775,,,,,,
1478503249.75,-0.280342,1.403548,-2.219671,0.029373,-0.049275,0.004704,-0.046059,-0.986047,-0.159970,0.005425,0.000817,-0.010714,-6.671753,-31.975769,-26.418701,,,,,,
1478503249.77,-0.281265,1.404049,-2.220019,0.056974,-0.078067,0.003833,-0.046070,-0.986130,-0.159454,0.012043,0.014145,-0.012299,-6.671753,-31.975769,-26.418701,,,,,,
