timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478503652.50,0.333717,-0.222178,1.700470,0.110472,0.079652,0.028780,0.319506,0.220354,-0.921607,-0.028368,-0.005083,0.018577,6.430298,-12.368652,-39.027466,,,,,,
,,,,,,,,,,,,,,,,37.391882,-122.011694,9.716614,0.380000,183.515625,1478503639.00
,,,,,,,,,,,,,,,,37.391882,-122.011694,9.716614,0.380000,183.515625,1478503631.00
1478503652.52,0.333925,-0.221185,1.699994,0.042334,0.012971,-0.015138,0.319769,0.219386,-0.921747,-0.022772,0.014562,0.000101,6.430298,-12.368652,-39.027466,,,,,,
,,,,,,,,,,,,,,,,37.391882,-122.011694,9.716614,0.380000,183.515625,1478503639.00
1478503652.54,0.333174,-0.220886,1.699094,0.026200,-0.048583,-0.043683,0.319098,0.219094,-0.922049,-0.012030,-0.000360,0.003576,6.505432,-12.519104,-38.801758,,,,,,
1478503652.56,0.331165,-0.220495,1.698406,0.016291,-0.083692,-0.011749,0.317273,0.218713,-0.922769,-0.010572,-0.020150,0.004754,6.355530,-12.819702,-38.352661,,,,,,
1478503652.58,0.329858,-0.220066,1.698489,0.027914,-0.051893,0.021266,0.316097,0.218294,-0.923272,-0.004390,-0.020158,0.012597,6.279541,-12.743713,-38.953247,,,,,,
,,,,,,,,,,,,,,,,37.391836,-122.011531,9.716614,-1.000000,-1.000000,1478503652.58
1478503652.60,0.329775,-0.219059,1.698631,0.023978,0.028930,0.014734,0.316091,0.217311,-0.923505,-0.015035,-0.010341,0.023283,6.357056,-12.069458,-38.503052,,,,,,
