timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478503603.65,0.414328,-0.400344,2.071286,0.028542,-0.087269,0.078942,0.370742,0.389736,-0.843005,-0.003753,-0.011806,-0.000211,2.406677,-0.664429,-40.488403,,,,,,
,,,,,,,,,,,,,,,,37.392598,-122.003843,10.474915,-1.000000,-1.000000,1478503550.24
,,,,,,,,,,,,,,,,37.391947,-122.011798,10.474915,0.620000,301.640625,1478503124.00
1478503603.67,0.412725,-0.398037,2.071815,0.074644,-0.017241,0.071638,0.369750,0.387610,-0.844419,-0.015350,-0.017874,-0.011965,2.406677,-0.664429,-40.488403,,,,,,
,,,,,,,,,,,,,,,,37.392598,-122.003843,10.474915,-1.000000,-1.000000,1478503550.24
1478503603.69,0.413393,-0.395787,2.072381,0.094044,0.033740,0.064216,0.370663,0.385535,-0.844969,-0.018017,-0.009833,-0.035311,2.181274,-0.739197,-40.565063,,,,,,
1478503603.71,0.412920,-0.394325,2.072523,0.019449,-0.023381,0.036215,0.370490,0.384185,-0.845659,-0.031195,0.001481,-0.053908,2.031311,-0.814270,-40.491089,,,,,,
1478503603.73,0.410830,-0.394635,2.072774,-0.030769,-0.157083,-0.014953,0.368673,0.384472,-0.846322,-0.044714,0.014256,-0.051032,2.182312,-0.739990,-40.040039,,,,,,
,,,,,,,,,,,,,,,,37.392598,-122.003843,10.474915,-1.000000,-1.000000,1478503603.72
1478503603.75,0.407395,-0.395166,2.071890,0.020810,-0.121013,-0.065821,0.365683,0.384962,-0.847396,-0.044898,0.008761,0.003890,1.283630,-0.289673,-39.972046,,,,,,
,,,,,,,,,,,,,,,,37.392598,-122.003843,10.474915,-1.000000,-1.000000,1478503603.74
1478503603.77,0.406089,-0.394093,2.069579,0.127992,0.037075,-0.081440,0.364739,0.383971,-0.848252,-0.031624,-0.008574,0.025117,1.283630,-0.289673,-39.972046,,,,,,
,,,,,,,,,,,,,,,,37.392598,-122.003843,10.474915,-1.000000,-1.000000,1478503603.76
,,,,,,,,,,,,,,,,37.392598,-122.003843,10.474915,-1.000000,-1.000000,1478503603.77
1478503603.79,0.406647,-0.392383,2.066675,0.117642,0.098796,-0.095429,0.365472,0.382391,-0.848650,-0.020074,-0.008978,0.018420,1.508179,-0.514954,-39.895142,,,,,,
,,,,,,,,,,,,,,,,37.392598,-122.003843,10.474915,-1.000000,-1.000000,1478503603.78
,,,,,,,,,,,,,,,,37.392598,-122.003843,10.474915,-1.000000,-1.000000,1478503603.79
1478503603.81,0.407035,-0.391538,2.064085,0.052470,0.050097,-0.092519,0.365929,0.381610,-0.848805,-0.009636,-0.012668,0.000309,1.432373,-0.589417,-40.195801,,,,,,
1478503603.83,0.406381,-0.391780,2.062304,0.005201,-0.025271,-0.071374,0.365337,0.381834,-0.848959,0.001805,-0.015593,-0.001718,1.507385,-0.664551,-40.120117,,,,,,
